Crop,Soil_Type,Crop_Stage,Nutrient_Deficiency,Recommended_Fertilizer
Mustard,Sandy,Sowing,Nitrogen,Urea
Cotton,Black,Growing,Nitrogen,Urea
Millet,Loamy,Growing,Potassium,Muriate of Potash
Barley,Loamy,Harvesting,Potassium,Muriate of Potash
Paddy,Clay,Harvesting,None,Compost
Millet,Loamy,Growing,Nitrogen,Urea
Paddy,Loamy,Growing,Nitrogen,Urea
Paddy,Black,Sowing,Nitrogen,Urea
Paddy,Black,Sowing,Nitrogen,Urea
Mustard,Loamy,Growing,Potassium,Muriate of Potash
Wheat,Clay,Harvesting,None,Compost
Maize,Loamy,Harvesting,Nitrogen,Urea
Mustard,Loamy,Sowing,Phosphorus,Single Super Phosphate
Maize,Loamy,Sowing,Potassium,Muriate of Potash
Mustard,Clay,Sowing,Nitrogen,Urea
Wheat,Clay,Growing,None,Compost
Groundnut,Sandy,Sowing,Nitrogen,Urea
Sugarcane,Clay,Growing,Phosphorus,Single Super Phosphate
Sugarcane,Loamy,Growing,Phosphorus,Single Super Phosphate
Maize,Sandy,Harvesting,None,Compost
Paddy,Red,Sowing,Potassium,Muriate of Potash
Millet,Loamy,Growing,Nitrogen,Urea
Barley,Black,Growing,Nitrogen,Urea
Barley,Black,Harvesting,Potassium,Muriate of Potash
Paddy,Loamy,Growing,Nitrogen,Urea
Barley,Loamy,Sowing,Phosphorus,Single Super Phosphate
Wheat,Red,Growing,Nitrogen,Urea
Cotton,Black,Harvesting,Phosphorus,Single Super Phosphate
Cotton,Clay,Harvesting,Potassium,Muriate of Potash
Maize,Clay,Growing,Phosphorus,Single Super Phosphate
Barley,Black,Harvesting,Phosphorus,Single Super Phosphate
Barley,Loamy,Harvesting,Potassium,Muriate of Potash
Millet,Clay,Growing,Potassium,Muriate of Potash
Paddy,Sandy,Sowing,Nitrogen,Urea
Mustard,Clay,Sowing,Phosphorus,Single Super Phosphate
Paddy,Sandy,Harvesting,None,Compost
Groundnut,Black,Harvesting,Nitrogen,Urea
Millet,Clay,Growing,Phosphorus,Single Super Phosphate
Wheat,Sandy,Harvesting,Phosphorus,Single Super Phosphate
Wheat,Sandy,Growing,Phosphorus,Single Super Phosphate
Wheat,Red,Sowing,Potassium,Muriate of Potash
Soybean,Red,Harvesting,Potassium,Muriate of Potash
Paddy,Sandy,Sowing,Potassium,Muriate of Potash
Soybean,Sandy,Growing,None,Compost
Barley,Loamy,Growing,Phosphorus,Single Super Phosphate
Soybean,Red,Harvesting,Phosphorus,Single Super Phosphate
Cotton,Red,Harvesting,Phosphorus,Single Super Phosphate
Mustard,Sandy,Growing,None,Compost
Sugarcane,Black,Harvesting,Potassium,Muriate of Potash
Cotton,Sandy,Harvesting,None,Compost
Soybean,Clay,Sowing,Potassium,Muriate of Potash
Wheat,Red,Growing,Nitrogen,Urea
Mustard,Loamy,Growing,Nitrogen,Urea
Paddy,Black,Growing,Phosphorus,Single Super Phosphate
Sugarcane,Sandy,Harvesting,Potassium,Muriate of Potash
Millet,Loamy,Harvesting,None,Compost
Wheat,Black,Harvesting,Potassium,Muriate of Potash
Paddy,Black,Sowing,Phosphorus,Single Super Phosphate
Cotton,Loamy,Harvesting,None,Compost
Cotton,Black,Sowing,Nitrogen,Urea
Groundnut,Clay,Sowing,Nitrogen,Urea
Cotton,Sandy,Sowing,Nitrogen,Urea
Paddy,Sandy,Sowing,Nitrogen,Urea
Maize,Black,Harvesting,Potassium,Muriate of Potash
Wheat,Sandy,Growing,Nitrogen,Urea
Millet,Red,Sowing,Nitrogen,Urea
Wheat,Red,Sowing,Nitrogen,Urea
Groundnut,Black,Harvesting,Potassium,Muriate of Potash
Wheat,Sandy,Sowing,Nitrogen,Urea
Soybean,Loamy,Harvesting,Potassium,Muriate of Potash
Barley,Loamy,Growing,Phosphorus,Single Super Phosphate
Mustard,Black,Sowing,Potassium,Muriate of Potash
Cotton,Clay,Harvesting,None,Compost
Barley,Sandy,Growing,None,Compost
Mustard,Red,Harvesting,Potassium,Muriate of Potash
Paddy,Sandy,Sowing,Phosphorus,Single Super Phosphate
Sugarcane,Black,Sowing,Phosphorus,Single Super Phosphate
Cotton,Sandy,Sowing,Potassium,Muriate of Potash
Groundnut,Sandy,Sowing,Nitrogen,Urea
Millet,Clay,Sowing,None,Compost
Sugarcane,Sandy,Growing,Nitrogen,Urea
Maize,Clay,Harvesting,Nitrogen,Urea
Barley,Loamy,Sowing,Potassium,Muriate of Potash
Paddy,Clay,Sowing,None,Compost
Paddy,Black,Growing,None,Compost
Sugarcane,Red,Growing,Potassium,Muriate of Potash
Cotton,Loamy,Sowing,None,Compost
Millet,Sandy,Harvesting,Phosphorus,Single Super Phosphate
Mustard,Sandy,Growing,Nitrogen,Urea
Maize,Clay,Harvesting,Potassium,Muriate of Potash
Paddy,Black,Sowing,Potassium,Muriate of Potash
Millet,Loamy,Harvesting,None,Compost
Wheat,Clay,Sowing,None,Compost
Mustard,Red,Harvesting,None,Compost
Millet,Black,Sowing,None,Compost
Soybean,Red,Sowing,Phosphorus,Single Super Phosphate
Paddy,Loamy,Sowing,Potassium,Muriate of Potash
Sugarcane,Clay,Harvesting,None,Compost
Millet,Red,Sowing,None,Compost
Wheat,Red,Harvesting,None,Compost
Sugarcane,Black,Sowing,Phosphorus,Single Super Phosphate
Paddy,Red,Sowing,Potassium,Muriate of Potash
Millet,Sandy,Growing,Potassium,Muriate of Potash
Mustard,Black,Sowing,Phosphorus,Single Super Phosphate
Cotton,Black,Growing,Potassium,Muriate of Potash
Cotton,Clay,Harvesting,Phosphorus,Single Super Phosphate
Soybean,Red,Sowing,Potassium,Muriate of Potash
Sugarcane,Sandy,Harvesting,Potassium,Muriate of Potash
Sugarcane,Clay,Sowing,Phosphorus,Single Super Phosphate
Soybean,Black,Harvesting,Nitrogen,Urea
Paddy,Black,Sowing,None,Compost
Groundnut,Black,Growing,Potassium,Muriate of Potash
Wheat,Red,Sowing,Potassium,Muriate of Potash
Wheat,Sandy,Sowing,None,Compost
Wheat,Black,Growing,Nitrogen,Urea
Barley,Black,Sowing,Phosphorus,Single Super Phosphate
Soybean,Black,Growing,Potassium,Muriate of Potash
Paddy,Red,Growing,Phosphorus,Single Super Phosphate
Millet,Clay,Growing,Nitrogen,Urea
Barley,Black,Growing,Nitrogen,Urea
Groundnut,Sandy,Growing,Phosphorus,Single Super Phosphate
Groundnut,Loamy,Growing,Nitrogen,Urea
Groundnut,Sandy,Harvesting,Potassium,Muriate of Potash
Cotton,Sandy,Harvesting,Nitrogen,Urea
Barley,Black,Sowing,None,Compost
Millet,Clay,Growing,None,Compost
Sugarcane,Red,Growing,Phosphorus,Single Super Phosphate
Soybean,Sandy,Sowing,Nitrogen,Urea
Soybean,Red,Sowing,Nitrogen,Urea
Maize,Black,Sowing,Potassium,Muriate of Potash
Sugarcane,Black,Sowing,Potassium,Muriate of Potash
Soybean,Black,Sowing,Phosphorus,Single Super Phosphate
Soybean,Black,Growing,None,Compost
Sugarcane,Red,Harvesting,Nitrogen,Urea
Mustard,Clay,Sowing,Nitrogen,Urea
Millet,Black,Growing,Nitrogen,Urea
Maize,Black,Sowing,Potassium,Muriate of Potash
Sugarcane,Black,Harvesting,None,Compost
Paddy,Loamy,Growing,Nitrogen,Urea
Cotton,Clay,Sowing,Nitrogen,Urea
Sugarcane,Red,Sowing,Nitrogen,Urea
Soybean,Sandy,Growing,Phosphorus,Single Super Phosphate
Groundnut,Sandy,Harvesting,Nitrogen,Urea
Paddy,Black,Sowing,Phosphorus,Single Super Phosphate
Paddy,Clay,Growing,None,Compost
Soybean,Sandy,Harvesting,Phosphorus,Single Super Phosphate
Mustard,Black,Sowing,Nitrogen,Urea
Soybean,Loamy,Sowing,Potassium,Muriate of Potash
Maize,Black,Sowing,Nitrogen,Urea
Maize,Black,Harvesting,Nitrogen,Urea
Mustard,Red,Growing,Phosphorus,Single Super Phosphate
Millet,Clay,Sowing,None,Compost
Cotton,Red,Growing,Potassium,Muriate of Potash
Millet,Sandy,Growing,Nitrogen,Urea
Millet,Clay,Sowing,None,Compost
Sugarcane,Black,Growing,Phosphorus,Single Super Phosphate
Mustard,Sandy,Sowing,None,Compost
Soybean,Sandy,Harvesting,Phosphorus,Single Super Phosphate
Soybean,Red,Sowing,None,Compost
Sugarcane,Clay,Growing,Nitrogen,Urea
Wheat,Clay,Harvesting,Nitrogen,Urea
Mustard,Red,Sowing,Phosphorus,Single Super Phosphate
Barley,Clay,Harvesting,Potassium,Muriate of Potash
Wheat,Red,Growing,Potassium,Muriate of Potash
Mustard,Loamy,Harvesting,None,Compost
Maize,Loamy,Harvesting,None,Compost
Wheat,Clay,Harvesting,Phosphorus,Single Super Phosphate
Mustard,Red,Harvesting,None,Compost
Cotton,Sandy,Growing,Nitrogen,Urea
Maize,Red,Sowing,Nitrogen,Urea
Maize,Black,Growing,Potassium,Muriate of Potash
Sugarcane,Black,Growing,Nitrogen,Urea
Cotton,Red,Sowing,None,Compost
Sugarcane,Clay,Harvesting,Nitrogen,Urea
Soybean,Red,Sowing,Potassium,Muriate of Potash
Cotton,Loamy,Sowing,None,Compost
Cotton,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Sugarcane,Loamy,Growing,Nitrogen,Urea
Sugarcane,Red,Growing,None,Compost
Cotton,Loamy,Harvesting,Potassium,Muriate of Potash
Sugarcane,Red,Sowing,Phosphorus,Single Super Phosphate
Cotton,Red,Harvesting,Potassium,Muriate of Potash
Millet,Clay,Sowing,Phosphorus,Single Super Phosphate
Sugarcane,Sandy,Sowing,Potassium,Muriate of Potash
Sugarcane,Clay,Growing,Phosphorus,Single Super Phosphate
Paddy,Black,Harvesting,None,Compost
Barley,Loamy,Harvesting,Potassium,Muriate of Potash
Cotton,Sandy,Growing,Potassium,Muriate of Potash
Millet,Sandy,Sowing,None,Compost
Mustard,Loamy,Growing,Potassium,Muriate of Potash
Cotton,Clay,Sowing,Phosphorus,Single Super Phosphate
Groundnut,Black,Growing,Nitrogen,Urea
Cotton,Loamy,Growing,Phosphorus,Single Super Phosphate
Paddy,Clay,Harvesting,Potassium,Muriate of Potash
Maize,Red,Growing,None,Compost
Soybean,Loamy,Sowing,Phosphorus,Single Super Phosphate
Groundnut,Loamy,Sowing,Potassium,Muriate of Potash
Sugarcane,Sandy,Sowing,Phosphorus,Single Super Phosphate
Millet,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Wheat,Red,Growing,Nitrogen,Urea
Paddy,Red,Sowing,Phosphorus,Single Super Phosphate
Barley,Loamy,Harvesting,Nitrogen,Urea
Cotton,Sandy,Growing,Phosphorus,Single Super Phosphate
Soybean,Loamy,Harvesting,Nitrogen,Urea
